task,k50,k90
list_append,1+3,1+4
list_concat,1+3,1+5
list_drop,1+7,---
list_even_parity,---,---
list_last,1+5,1+10
list_length,1+2,1+2
list_nth,1+7,1+15
list_rev_append,1+3,1+4
list_rev_snoc,1+2,1+4
list_rev_tailcall,1+3,1+5
list_snoc,1+3,1+4
list_sort_sorted_insert,1+2,1+4
list_stutter,1+2,1+3
list_take,1+7,1+16
nat_add,1+3,1+4
nat_iseven,1+3,1+4
nat_max,1+8,1+12
tree_collect_leaves,1+3,1+3
tree_count_nodes,1+3,1+5
tree_inorder,1+3,1+4
tree_preorder,1+3,1+3
