task,k50,k90
list_append,1+2,1+4
list_concat,1+3,1+5
list_drop,1+8,1+19
list_last,1+4,1+10
list_length,1+2,1+2
list_rev_append,1+2,1+4
list_rev_snoc,1+3,1+4
list_rev_tailcall,1+2,1+4
list_snoc,1+2,1+3
list_stutter,1+2,1+2
list_take,1+7,1+15
tree_collect_leaves,1+2,1+3
tree_count_nodes,1+3,1+4
tree_inorder,1+3,1+3
tree_preorder,1+2,1+3
