nat_pred,3,0.002,2 (67%),(2|3|),---,---,\leonquidCorrect,\leonquidCorrect,\leonquidIncorrect,\leonquidIncorrect
tree_binsert,20,timeout,---,---,---,---,\leonquidError,\leonquidBlank,\synquidDatatypeAxioms,\leonquidBlank
tree_collect_leaves,6,0.066,3 (50%),(3|4|3),1+2 (50%),(1+3|1+3|),\leonquidCorrect,\leonquidCorrect,\synquidDatatypeAxioms,\synquidNotTraceComplete
tree_count_leaves,7,3.009,3 (43%),RandFailedTimeout,1+1 (29%),RandFailedTimeout,\leonquidCorrect,\leonquidCorrect,\synquidDatatypeAxioms,\synquidNotTraceComplete
tree_count_nodes,6,0.323,3 (50%),(4||10),1+2 (50%),(1+4|1+5|10),\leonquidCorrect,\leonquidCorrect,\synquidDatatypeAxioms,\synquidNotTraceComplete
tree_inorder,5,0.114,4 (80%),(3|4|),1+2 (60%),(1+3|1+3|),\leonquidCorrect,\leonquidCorrect,\synquidDatatypeAxioms,\synquidNotTraceComplete
tree_map,7,0.055,4 (57%),RandFailedHigherOrder,1+3 (57%),RandFailedHigherOrder,\leonHigherOrderFunc,\leonHigherOrderFunc,\leonHigherOrderFunc,\leonHigherOrderFunc
tree_nodes_at_level,11,timeout,---,---,---,---,\leonquidError,\leonquidBlank,\synquidDatatypeAxioms,\leonquidBlank
tree_postorder,20,timeout,---,---,---,---,\leonquidCorrect,\leonquidBlank,\synquidDatatypeAxioms,\leonquidBlank
tree_preorder,5,0.145,3 (60%),(3|3|3),1+2 (60%),(1+3|1+3|),\leonquidCorrect,\leonquidCorrect,\synquidDatatypeAxioms,\synquidNotTraceComplete
